SKU,Code,mrp,wholesale_price,Mk UP,Promotion Type
12539,SRT0050311,73,33,2.212121212,20%
12540,SRT0050312,74,33,2.242424242,20%
12875,MUM0160474,23,11,2.090909091,15%
12877,MUM0160477,23,11,2.090909091,15%
12919,MUM0160485,9,4,2.25,20%
12927,MUM0160493,40,19,2.105263158,15%
12932,MUM0160498,17,8,2.125,15%
12933,MUM0160499,17,8,2.125,15%
12942,MUM0160508,27,13,2.076923077,15%
12971,BLR0790026,614,245,2.506122449,B1G1
13293,BLR0060228,213,68,3.132352941,B1G1
13294,BLR0060229,1236,490,2.52244898,B1G1
13295,BLR0060230,1236,490,2.52244898,B1G1
13296,BLR0060231,213,68,3.132352941,B1G1
13297,BLR0060232,1018,336,3.029761905,B1G1
13298,BLR0060233,213,68,3.132352941,B1G1
13299,BLR0060234,936,309,3.029126214,B1G1
13301,BLR0060236,936,309,3.029126214,B1G1
13302,BLR0060237,936,309,3.029126214,B1G1
13303,BLR0060238,303,98,3.091836735,B1G1
13304,BLR0060239,303,98,3.091836735,B1G1
13305,BLR0060240,303,98,3.091836735,B1G1
13306,BLR0060241,303,98,3.091836735,B1G1
13307,BLR0060242,303,98,3.091836735,B1G1
13310,BLR0060245,208,66,3.151515152,B1G1
13311,BLR0060246,208,66,3.151515152,B1G1
13312,BLR0060247,194,61,3.180327869,B1G1
13313,BLR0060248,194,61,3.180327869,B1G1
13314,BLR0060249,208,66,3.151515152,B1G1
13315,BLR0060250,303,98,3.091836735,B1G1
13316,BLR0060251,303,98,3.091836735,B1G1
13317,BLR0060252,936,309,3.029126214,B1G1
13318,BLR0060253,303,98,3.091836735,B1G1
13319,BLR0060254,303,98,3.091836735,B1G1
13321,BLR0060256,1168,463,2.522678186,B1G1
13322,BLR0060257,208,66,3.151515152,B1G1
13324,BLR0060259,213,68,3.132352941,B1G1
13326,BLR0060261,56,15,3.733333333,B1G1
13328,BLR0060263,194,61,3.180327869,B1G1
13329,BLR0060264,213,68,3.132352941,B1G1
13330,BLR0060265,194,61,3.180327869,B1G1
13331,BLR0060266,194,61,3.180327869,B1G1
13332,BLR0060267,194,61,3.180327869,B1G1
13333,BLR0060268,213,68,3.132352941,B1G1
13337,BLR0060272,56,15,3.733333333,B1G1
13338,BLR0060273,56,15,3.733333333,B1G1
13391,MUM0160527,43,21,2.047619048,15%
13394,MUM0160530,36,18,2,15%
13396,MUM0160524,46,23,2,15%
13399,MUM0160523,45,22,2.045454545,15%
13505,BLR0050133,107,32,3.34375,B1G1
13511,BLR0050139,107,32,3.34375,B1G1
13905,BLR0200401,23,8,2.875,B1G1
13906,BLR0200402,25,9,2.777777778,B1G1
13907,BLR0200403,24,9,2.666666667,B1G1
13908,BLR0200404,27,10,2.7,B1G1
13911,BLR0200407,28,11,2.545454545,B1G1
13913,BLR0200409,26,10,2.6,B1G1
13916,BLR0200412,22,8,2.75,B1G1
13917,BLR0200413,26,10,2.6,B1G1
13918,BLR0200414,25,9,2.777777778,B1G1
13923,BLR0200419,26,10,2.6,B1G1
13929,BLR0200425,26,10,2.6,B1G1
13930,BLR0200426,29,11,2.636363636,B1G1
13933,BLR0200429,24,9,2.666666667,B1G1
14067,SRT0070230,140,67,2.089552239,15%
14068,SRT0070231,140,67,2.089552239,15%
14166,MUM0270001,32,10,3.2,B1G1
14267,SRT0110002,141,67,2.104477612,15%
14268,SRT0110003,134,64,2.09375,15%
14269,SRT0110004,134,64,2.09375,15%
14270,SRT0110005,131,62,2.112903226,15%
14271,SRT0110006,202,98,2.06122449,15%
14272,SRT0110007,202,98,2.06122449,15%
14273,SRT0110008,146,70,2.085714286,15%
14274,SRT0110009,131,62,2.112903226,15%
14275,SRT0110010,137,65,2.107692308,15%
14276,SRT0110011,188,91,2.065934066,15%
14277,SRT0110012,115,54,2.12962963,15%
14279,SRT0110014,141,67,2.104477612,15%
14283,SRT0110018,137,65,2.107692308,15%
14284,SRT0110019,137,65,2.107692308,15%
14285,SRT0110020,137,65,2.107692308,15%
14289,SRT0110024,210,102,2.058823529,15%
14290,SRT0110025,210,102,2.058823529,15%
14333,BLR0820126,34,14,2.428571429,B1G1
14378,SRT0110026,267,130,2.053846154,15%
14379,SRT0110027,303,148,2.047297297,15%
14380,SRT0110028,173,83,2.084337349,15%
14381,SRT0110029,173,83,2.084337349,15%
14382,SRT0110030,173,83,2.084337349,15%
14384,SRT0110032,173,83,2.084337349,15%
14385,SRT0110033,173,83,2.084337349,15%
14386,SRT0110034,173,83,2.084337349,15%
14387,SRT0110035,173,83,2.084337349,15%
14388,SRT0110036,173,83,2.084337349,15%
14389,SRT0110037,341,167,2.041916168,15%
14390,SRT0110038,160,77,2.077922078,15%
14391,SRT0110039,116,55,2.109090909,15%
14392,SRT0110040,175,84,2.083333333,15%
14393,SRT0110041,116,55,2.109090909,15%
14394,SRT0110042,160,77,2.077922078,15%
14395,SRT0110043,137,68,2.014705882,15%
